,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
43549,01824729FEF29D2D,classic_bike,2021-01-04 06:12:44,2021-01-04 06:16:31,Connecticut Ave & R St NW,31299.0,24th & N St NW,31255.0,38.912644,-77.04564,38.9066,-77.05152,member
45413,A9D884F1F669F265,electric_bike,2021-01-04 06:13:37,2021-01-04 06:25:42,Rhode Island & Connecticut Ave NW,31239.0,14th & Irving St NW,31124.0,38.90592566666667,-77.04005516666666,38.92858266666666,-77.03249183333334,member
31128,9E8623C5A4BA0CA8,classic_bike,2021-01-04 06:15:13,2021-01-04 06:19:41,Park Rd & Holmead Pl NW,31602.0,14th & Belmont St NW,31119.0,38.9308,-77.0315,38.921074,-77.031887,member
61954,7A0E602243031A9D,classic_bike,2021-01-04 06:16:26,2021-01-04 06:21:24,13th & H St NE,31611.0,3rd & H St NE,31616.0,38.90042673988099,-76.98825001716614,38.900412,-77.001949,member
30743,456345667C8508AE,classic_bike,2021-01-04 06:17:12,2021-01-04 06:27:25,4th St & K St NW,31642.0,6th & H St NE,31615.0,38.90240556584194,-77.01600551605225,38.899972,-76.998347,member
61049,8D386EDEBABBF6FF,electric_bike,2021-01-04 06:17:39,2021-01-04 06:45:38,Maryland Ave & 17th St NE,31656.0,1st & M St SE,31650.0,38.9019405,-76.9786635,38.87779466666667,-77.00603116666667,member
13879,938F9F16159CB10F,electric_bike,2021-01-04 06:23:24,2021-01-04 06:41:05,11th & Park Rd NW,31651.0,Reservoir Rd & 38th St NW,31325.0,38.93132883333333,-77.02823733333334,38.91261733333333,-77.0741345,member
41980,704F0B04286B794B,classic_bike,2021-01-04 06:25:56,2021-01-04 06:30:19,5th & K St NW,31600.0,11th & F St NW,31262.0,38.903040000000004,-77.01902700000001,38.897857,-77.026975,casual
74051,9A357DFF169769AC,classic_bike,2021-01-04 06:27:05,2021-01-04 06:38:51,15th & Euclid St  NW,31117.0,New Hampshire Ave & 24th St NW,31275.0,38.92333,-77.0352,38.901755,-77.051084,member
2481,A560C688AE475FB7,classic_bike,2021-01-04 06:27:14,2021-01-04 06:32:12,7th & F St NW / National Portrait Gallery,31232.0,5th & K St NW,31600.0,38.89728304853854,-77.0221906900406,38.903040000000004,-77.01902700000001,member
79553,8336CC3DDC132D30,electric_bike,2021-01-04 06:28:18,2021-01-04 06:48:51,16th & Harvard St NW,31103.0,Reservoir Rd & 38th St NW,31325.0,38.926123333333344,-77.036654,38.912696333333336,-77.0744005,member
23559,4F80F62DB2AB8A44,classic_bike,2021-01-04 06:28:50,2021-01-04 06:39:43,1st & M St NE,31603.0,4th & C St SW,31243.0,38.905696999999996,-77.005483,38.88637194054526,-77.01770067214966,member
90714,464E2E2C48D6B6B5,classic_bike,2021-01-04 06:29:28,2021-01-04 06:35:58,5th St & Massachusetts Ave NW,31265.0,New York Ave & 15th St NW,31222.0,38.900929999999995,-77.018677,38.89903234416315,-77.03335404396056,member
42548,DF6FA39BF6FF8227,classic_bike,2021-01-04 06:29:38,2021-01-04 06:35:03,St Asaph & Pendleton St,31043.0,Commerce St & Fayette St,31045.0,38.81074147938705,-77.04463273286821,38.805648,-77.05293,member
31997,BAA229D06D66D92A,classic_bike,2021-01-04 06:30:08,2021-01-04 06:50:38,Chillum Rd & Riggs Rd / Riggs Plaza,32416.0,The Mall at Prince Georges,32422.0,38.961737,-76.995922,38.968841999999995,-76.954171,member
19623,032EC91DDC5967E1,classic_bike,2021-01-04 06:32:12,2021-01-04 06:37:05,Kennedy Center,31211.0,US Dept of State / Virginia Ave & 21st St NW,31220.0,38.897293,-77.05556999999999,38.894919,-77.046587,member
49915,378C8F6E5799CA25,classic_bike,2021-01-04 06:33:14,2021-01-04 06:39:12,Potomac Ave & 8th St SE,31635.0,3rd & D St SE,31605.0,38.876737,-76.99446800000001,38.8851,-77.0023,member
